"filename", "language", "Markdown", "C#", "XML", "comment", "blank", "total"
"c:\Users\maxve\repos\exam_trading_system\Item.cs", "C#", 0, 24, 0, 7, 2, 33
"c:\Users\maxve\repos\exam_trading_system\Menu.cs", "C#", 0, 9, 0, 8, 2, 19
"c:\Users\maxve\repos\exam_trading_system\Program.cs", "C#", 0, 361, 0, 0, 19, 380
"c:\Users\maxve\repos\exam_trading_system\README.md", "Markdown", 6, 0, 0, 0, 4, 10
"c:\Users\maxve\repos\exam_trading_system\Trade.cs", "C#", 0, 35, 0, 13, 2, 50
"c:\Users\maxve\repos\exam_trading_system\TradeSystem.cs", "C#", 0, 161, 0, 34, 8, 203
"c:\Users\maxve\repos\exam_trading_system\Tradestatus.cs", "C#", 0, 7, 0, 6, 0, 13
"c:\Users\maxve\repos\exam_trading_system\User.cs", "C#", 0, 45, 0, 28, 5, 78
"c:\Users\maxve\repos\exam_trading_system\Utility.cs", "C#", 0, 51, 0, 26, 2, 79
"c:\Users\maxve\repos\exam_trading_system\WIP.md", "Markdown", 59, 0, 0, 0, 6, 65
"c:\Users\maxve\repos\exam_trading_system\exam_trading_system.csproj", "XML", 0, 0, 8, 0, 3, 11
"Total", "-", 65, 693, 8, 122, 53, 941
